id_ibge,regiao_cptec,nome,uf,latitude,longitude,altitude
1200013,272,Acrelândia,AC,-9.8278,-66.8833,25
1200054,652,"Assis Brasil",AC,-10.9414,-69.5669,239
1200104,985,Brasiléia,AC,-11.0161,-68.7481,172
1200138,1027,Bujari,AC,-9.8306,-67.9522,50
1200179,1308,Capixaba,AC,-10.5728,-67.6756,40
1200203,1704,"Cruzeiro do Sul",AC,-7.6311,-72.6700,182
1200252,1896,Epitaciolândia,AC,-11.0289,-68.7414,0
1200302,1974,Feijó,AC,-8.1642,-70.3536,153
1200328,2810,Jordão,AC,-9.4342,-71.8839,278
1200336,3082,"Mâncio Lima",AC,-7.6142,-72.8958,195
1200344,3096,"Manoel Urbano",AC,-8.8389,-69.2597,162
1200351,3142,"Marechal Thaumaturgo",AC,-8.9411,-72.7917,190
1200385,4053,"Plácido de Castro",AC,-10.3353,-67.1856,136
1200807,4126,"Porto Acre",AC,-9.5883,-67.5325,145
1200393,4158,"Porto Walter",AC,-8.2686,-72.7439,195
1200401,240,"Rio Branco",AC,-9.9747,-67.8100,153
1200427,4436,"Rodrigues Alves",AC,-7.7417,-72.6361,0
1200435,4641,"Santa Rosa do Purus",AC,-9.4328,-70.4933,25
1200500,5125,"Sena Madureira",AC,-9.0656,-68.6569,150
1200450,5133,"Senador Guiomard",AC,-10.1522,-67.7392,201
1200609,5339,Tarauacá,AC,-8.1614,-70.7656,168
1200708,5718,Xapuri,AC,-10.6517,-68.5044,150
2700102,296,"Água Branca",AL,-9.2608,-37.9361,570
2700201,454,Anadia,AL,-9.6844,-36.3042,153
2700300,574,Arapiraca,AL,-9.7525,-36.6611,264
2700409,658,Atalaia,AL,-9.5019,-36.0228,54
2700508,753,"Barra de Santo Antônio",AL,-9.4047,-35.5072,10
2700607,756,"Barra de São Miguel",AL,-9.8400,-35.9078,2
2700706,802,Batalha,AL,-9.6778,-37.1247,120
2700805,820,Belém,AL,-9.5711,-36.4922,311
2700904,831,"Belo Monte",AL,-9.8283,-37.2800,30
2701001,887,"Boca da Mata",AL,-9.6414,-36.2203,132
2701100,978,Branquinha,AL,-9.2456,-36.0153,100
2701209,1092,Cacimbinhas,AL,-9.4003,-36.9903,270
2701308,1130,Cajueiro,AL,-9.3967,-36.1536,102
2701357,1168,Campestre,AL,-8.8458,-35.5681,0
2701407,1186,"Campo Alegre",AL,-9.7819,-36.3508,176
2701506,1202,"Campo Grande",AL,-9.9578,-36.7917,142
2701605,1233,Canapi,AL,-9.1169,-37.6022,342
2701704,1282,Capela,AL,-9.4075,-36.0736,84
2701803,1370,Carneiros,AL,-9.4825,-37.3772,347
2701902,1467,"Chã Preta",AL,-9.2553,-36.2961,463
2702009,1524,"Coité do Nóia",AL,-9.6322,-36.5786,280
2702108,1539,"Colônia Leopoldina",AL,-8.9089,-35.7250,140
2702207,1598,"Coqueiro Seco",AL,-9.6383,-35.8031,31
2702306,1652,Coruripe,AL,-10.1256,-36.1756,16
2702355,1666,Craíbas,AL,-9.6181,-36.7681,252
2702405,1755,"Delmiro Gouveia",AL,-9.3886,-37.9992,256
2702504,1805,"Dois Riachos",AL,-9.3925,-37.1006,245
2702553,1936,"Estrela de Alagoas",AL,-9.3903,-36.7600,0
2702603,1977,"Feira Grande",AL,-9.9003,-36.6775,220
2702702,1986,"Feliz Deserto",AL,-10.2919,-36.3061,6
2702801,2009,Flexeiras,AL,-9.1975,-35.7808,78
2702900,2122,"Girau do Ponciano",AL,-9.8842,-36.8289,244
2703007,2295,Ibateguara,AL,-8.9725,-35.9394,505
2703106,2349,Igaci,AL,-9.5369,-36.6336,240
2703205,2363,"Igreja Nova",AL,-10.1253,-36.6619,14
2703304,2418,Inhapi,AL,-9.2214,-37.7486,410
2703403,2678,"Jacaré dos Homens",AL,-9.6356,-37.2047,135
2703502,2689,Jacuípe,AL,-8.8417,-35.4600,74
2703601,2726,Japaratinga,AL,-9.0883,-35.2583,5
2703700,2741,Jaramataia,AL,-9.6594,-37.0019,164
2703759,5795,"Jequiá da Praia",AL,-9.9200,-35.9200,10
2703809,2802,"Joaquim Gomes",AL,-9.1333,-35.7483,104
2703908,2840,Jundiá,AL,-8.9347,-35.5736,94
2704005,2843,Junqueiro,AL,-9.9253,-36.4758,175
2704104,2882,"Lagoa da Canoa",AL,-9.8297,-36.7378,283
2704203,2977,"Limoeiro de Anadia",AL,-9.7406,-36.5028,140
2704302,233,Maceió,AL,-9.6658,-35.7353,16
2704401,3063,"Major Isidoro",AL,-9.5322,-36.9850,182
2704906,3104,"Mar Vermelho",AL,-9.4475,-36.3881,542
2704500,3116,Maragogi,AL,-9.0122,-35.2225,5
2704609,3128,Maravilha,AL,-9.2356,-37.3500,362
2704708,3140,"Marechal Deodoro",AL,-9.7103,-35.8950,31
2704807,3153,Maribondo,AL,-9.5772,-36.3053,157
2705002,3189,"Mata Grande",AL,-9.1175,-37.7322,633
2705101,3217,"Matriz de Camaragibe",AL,-9.1517,-35.5333,16
2705200,3246,Messias,AL,-9.3833,-35.8417,148
2705309,3261,"Minador do Negrão",AL,-9.3053,-36.8647,270
2705408,3355,Monteirópolis,AL,-9.6028,-37.2483,228
2705507,3418,Murici,AL,-9.3067,-35.9433,82
2705606,3600,"Novo Lino",AL,-8.9150,-35.6467,146
2705705,3625,"Olho D'Água das Flores",AL,-9.5361,-37.2939,286
2705804,3627,"Olho D'Água do Casado",AL,-9.5019,-37.8339,230
2705903,3629,"Olho D'Água Grande",AL,-10.0583,-36.8167,118
2706000,3641,Olivença,AL,-9.5186,-37.1906,231
2706109,3669,"Ouro Branco",AL,-9.1667,-37.3567,380
2706208,3706,Palestina,AL,-9.6719,-37.3292,160
2706307,3725,"Palmeira dos Índios",AL,-9.4072,-36.6275,342
2706406,3747,"Pão de Açúcar",AL,-9.7483,-37.4367,19
2706422,3799,Pariconha,AL,-9.2528,-38.0047,0
2706448,3802,Paripueira,AL,-9.4650,-35.5517,0
2706505,3822,"Passo de Camaragibe",AL,-9.2383,-35.4933,4
2706604,3859,"Paulo Jacinto",AL,-9.3661,-36.3697,292
2706703,3919,Penedo,AL,-10.2903,-36.5864,27
2706802,3947,Piaçabuçu,AL,-10.4056,-36.4344,3
2706901,3965,Pilar,AL,-9.5972,-35.9567,13
2707008,3978,Pindoba,AL,-9.4753,-36.2900,310
2707107,4022,Piranhas,AL,-9.6236,-37.7567,88
2707206,4072,"Poço das Trincheiras",AL,-9.3125,-37.2856,292
2707305,4133,"Porto Calvo",AL,-9.0450,-35.3983,54
2707404,4136,"Porto de Pedras",AL,-9.1583,-35.2950,22
2707503,4151,"Porto Real do Colégio",AL,-10.1858,-36.8400,10
2707602,4245,Quebrangulo,AL,-9.3189,-36.4711,366
2707701,4400,"Rio Largo",AL,-9.4783,-35.8533,39
2707800,4458,Roteiro,AL,-9.8328,-35.9778,32
2707909,4593,"Santa Luzia do Norte",AL,-9.6033,-35.8225,32
2708006,4676,"Santana do Ipanema",AL,-9.3783,-37.2453,250
2708105,4683,"Santana do Mundaú",AL,-9.1681,-36.2222,221
2708204,4768,"São Brás",AL,-10.1278,-36.9006,25
2708303,4915,"São José da Laje",AL,-9.0097,-36.0583,256
2708402,4918,"São José da Tapera",AL,-9.5583,-37.3811,255
2708501,4981,"São Luís do Quitunde",AL,-9.3183,-35.5611,4
2708600,5015,"São Miguel dos Campos",AL,-9.7811,-36.0936,12
2708709,5016,"São Miguel dos Milagres",AL,-9.2656,-35.3731,1
2708808,5050,"São Sebastião",AL,-9.9336,-36.5542,201
